,GT,Predict
0,3.0,3.084
1,4.0,2.935
2,2.0,3.107
3,4.0,3.077
4,3.0,3.059
5,3.0,3.1
6,4.0,3.055
7,1.0,3.027
8,2.0,3.059
9,5.0,3.06
10,3.0,3.045
11,4.0,3.045
12,3.0,3.091
13,3.0,3.067
14,1.0,3.085
15,1.0,3.101
16,4.0,3.116
17,3.0,3.036
18,3.0,3.041
19,4.0,2.972
20,4.0,3.044
21,3.0,3.033
22,4.0,3.093
23,1.0,2.997
24,2.0,3.064
25,4.0,3.057
26,2.0,3.065
27,2.0,3.052
28,5.0,3.087
29,5.0,3.072
30,3.0,3.078
31,5.0,3.056
32,5.0,3.014
33,5.0,3.059
34,3.0,3.096
35,4.0,3.051
36,4.0,3.077
37,4.0,3.03
38,1.0,2.988
39,4.0,3.084
40,2.0,3.055
41,3.0,3.027
42,4.0,3.056
43,3.0,3.044
44,4.0,3.036
45,4.0,3.12
46,3.0,3.045
47,3.0,3.058
48,3.0,3.046
49,4.0,3.015
50,4.0,3.096
51,5.0,3.049
52,5.0,3.027
53,4.0,3.11
54,4.0,3.071
55,3.0,3.049
56,4.0,3.084
57,1.0,3.077
58,2.0,3.059
59,1.0,3.045
60,1.0,3.045
61,2.0,3.085
62,5.0,3.036
63,2.0,2.997
64,1.0,3.064
65,1.0,3.052
66,1.0,3.056
67,2.0,2.988
68,2.0,3.044
69,2.0,3.058
70,3.0,3.096
71,3.0,3.027
72,2.0,3.049
73,4.0,3.055
74,2.0,3.051
75,2.0,3.014
76,5.0,3.086
77,1.0,3.019
78,2.0,3.04
79,2.0,3.083
80,3.0,3.073
81,4.0,3.033
82,1.0,3.051
83,1.0,3.013
84,5.0,3.049
85,4.0,3.061
86,4.0,3.01
87,3.0,3.065
88,2.0,3.068
89,3.0,3.04
90,1.0,3.039
91,3.0,3.131
92,2.0,3.011
93,3.0,3.08
94,3.0,3.05
95,2.0,3.085
96,3.0,3.036
97,3.0,3.091
98,1.0,3.122
99,3.0,3.073
100,3.0,3.07
101,1.0,3.005
102,3.0,3.025
103,2.0,3.013
104,3.0,3.077
105,5.0,3.071
106,3.0,3.06
107,2.0,2.992
108,3.0,3.044
109,3.0,3.048
110,5.0,3.062
111,3.0,3.051
112,4.0,3.069
113,3.0,3.055
114,1.0,2.968
115,4.0,3.091
116,5.0,3.049
117,5.0,3.05
118,4.0,3.102
119,2.0,3.066
120,3.0,3.067
121,3.0,3.029
122,2.0,3.102
123,1.0,3.091
124,4.0,3.086
125,4.0,3.073
126,2.0,3.099
127,4.0,3.076
128,5.0,3.068
129,3.0,3.049
130,3.0,3.064
131,3.0,3.076
132,4.0,3.021
133,3.0,3.072
134,2.0,3.06
135,2.0,3.029
136,1.0,3.014
137,4.0,3.061
138,3.0,3.037
139,4.0,3.024
140,5.0,3.015
141,4.0,3.069
142,1.0,3.065
143,4.0,3.084
144,4.0,2.935
145,4.0,3.107
146,3.0,3.077
147,5.0,3.1
148,4.0,3.027
149,4.0,3.059
150,4.0,3.06
151,4.0,3.091
152,4.0,3.067
153,4.0,3.085
154,2.0,2.972
155,1.0,3.044
156,5.0,3.033
157,2.0,2.997
158,4.0,3.064
159,3.0,3.065
160,3.0,3.052
161,4.0,3.044
162,5.0,3.12
163,4.0,3.027
164,4.0,3.11
165,4.0,3.055
166,4.0,3.051
167,5.0,3.019
168,2.0,3.049
169,5.0,3.065
170,3.0,3.044
171,5.0,3.069
172,5.0,2.968
173,4.0,3.029
174,3.0,3.021
175,4.0,3.028
176,1.0,3.085
177,3.0,3.05
178,2.0,3.088
179,5.0,3.091
180,4.0,3.003
181,3.0,3.08
182,3.0,3.084
183,2.0,2.935
184,2.0,3.107
185,4.0,3.077
186,2.0,3.027
187,3.0,3.059
188,4.0,3.06
189,1.0,3.045
190,3.0,3.091
191,4.0,3.067
192,5.0,3.085
193,1.0,3.101
194,3.0,3.116
195,5.0,3.036
196,2.0,3.033
197,4.0,3.064
198,3.0,3.044
199,2.0,3.049
200,2.0,3.051
201,4.0,3.014
202,4.0,3.019
203,3.0,3.04
204,4.0,3.073
205,4.0,3.051
206,4.0,3.013
207,5.0,3.049
208,3.0,3.061
209,3.0,3.068
210,4.0,3.011
211,4.0,3.122
212,3.0,3.073
213,3.0,3.005
214,4.0,3.013
215,2.0,3.06
216,4.0,3.062
217,4.0,3.069
218,5.0,3.055
219,5.0,2.968
220,5.0,3.05
221,5.0,3.067
222,3.0,3.102
223,3.0,3.099
224,4.0,3.064
225,1.0,3.076
226,2.0,3.021
227,2.0,3.088
228,5.0,3.091
229,2.0,3.08
230,4.0,3.028
231,3.0,3.117
232,5.0,3.04
233,3.0,3.123
234,4.0,3.062
235,3.0,3.048
236,2.0,3.033
237,3.0,3.045
238,4.0,3.087
239,4.0,3.032
240,2.0,3.087
241,4.0,3.096
242,2.0,3.085
243,4.0,3.07
244,4.0,3.081
245,4.0,3.054
246,3.0,3.08
247,5.0,3.061
248,4.0,3.055
249,5.0,3.087
250,4.0,3.005
251,1.0,3.066
252,1.0,3.023
253,5.0,3.078
254,4.0,3.011
255,1.0,3.077
256,3.0,3.1
257,3.0,3.066
258,5.0,3.05
259,4.0,3.037
260,4.0,3.012
261,2.0,3.075
262,4.0,3.043
263,2.0,3.044
264,2.0,3.094
265,3.0,3.01
266,4.0,3.092
267,3.0,3.036
268,2.0,3.053
269,3.0,3.063
270,2.0,3.107
271,5.0,3.08
272,4.0,3.076
273,2.0,3.055
274,4.0,3.041
275,4.0,3.108
276,4.0,3.032
277,5.0,3.047
278,3.0,3.067
279,1.0,3.099
280,4.0,3.103
281,4.0,3.005
282,5.0,3.1
283,3.0,3.063
284,2.0,3.085
285,3.0,3.045
286,1.0,3.099
287,3.0,2.981
288,3.0,3.067
289,5.0,3.084
290,3.0,3.055
291,5.0,3.027
292,2.0,3.045
293,4.0,3.085
294,1.0,3.056
295,3.0,3.036
296,5.0,3.12
297,1.0,3.058
298,1.0,3.015
299,5.0,3.027
300,3.0,3.11
301,5.0,3.055
302,1.0,3.015
303,3.0,3.003
304,2.0,3.087
305,1.0,3.059
306,1.0,2.989
307,1.0,3.037
308,3.0,3.004
309,1.0,3.039
310,1.0,3.077
311,5.0,3.054
312,1.0,3.066
313,1.0,3.004
