,GT,Predict
0,5.0,3.281
1,4.0,3.747
2,3.0,3.686
3,3.0,3.677
4,3.0,2.377
5,2.0,3.367
6,4.0,3.487
7,2.0,2.737
8,2.0,3.43
9,1.0,2.84
10,3.0,3.998
11,2.0,3.62
12,4.0,3.561
13,3.0,3.177
14,4.0,2.573
15,5.0,3.604
16,5.0,3.651
17,3.0,3.986
18,4.0,2.5
19,3.0,3.41
20,4.0,3.518
21,4.0,3.707
22,4.0,3.278
23,3.0,3.555
24,2.0,3.163
25,5.0,3.919
26,4.0,3.59
27,4.0,2.939
28,3.0,3.176
29,1.0,2.662
30,5.0,3.604
31,3.0,3.131
32,4.0,3.336
33,3.0,3.735
34,4.0,3.386
35,1.0,3.475
36,4.0,4.187
37,2.0,3.336
38,4.0,3.799
39,4.0,3.445
40,4.0,3.312
41,4.0,3.587
42,3.0,3.234
43,5.0,4.213
44,3.0,3.389
45,3.0,3.469
46,3.0,3.545
47,3.0,3.596
48,3.0,3.168
49,4.0,3.725
50,5.0,4.032
51,4.0,3.692
52,4.0,2.997
53,4.0,4.048
54,1.0,4.191
55,2.0,3.742
56,2.0,3.476
57,1.0,3.548
58,1.0,3.642
59,2.0,3.73
60,1.0,3.554
61,4.0,3.662
62,5.0,3.751
63,3.0,2.759
64,3.0,3.895
65,1.0,3.207
66,4.0,3.193
67,3.0,3.895
68,3.0,2.72
69,2.0,2.697
70,3.0,3.694
71,3.0,3.594
72,2.0,2.931
73,4.0,3.62
74,3.0,3.624
75,5.0,3.68
76,1.0,2.807
77,2.0,3.617
78,2.0,3.748
79,2.0,3.435
80,3.0,3.897
81,3.0,3.779
82,1.0,3.807
83,3.0,2.828
84,2.0,3.593
85,1.0,3.592
86,1.0,3.08
87,2.0,2.658
88,5.0,3.849
89,5.0,3.989
90,2.0,3.546
91,5.0,3.617
92,4.0,3.95
93,2.0,3.628
94,2.0,3.171
95,3.0,3.331
96,1.0,3.104
97,4.0,3.589
98,3.0,3.821
99,1.0,3.5
100,4.0,3.585
101,5.0,3.912
102,4.0,3.822
103,2.0,2.936
104,2.0,3.292
105,1.0,2.696
106,5.0,3.652
107,3.0,2.899
108,3.0,3.333
109,3.0,3.376
110,4.0,3.627
111,3.0,4.189
112,2.0,3.824
113,1.0,3.926
114,3.0,3.805
115,4.0,3.985
116,1.0,4.398
117,3.0,3.301
118,3.0,3.124
119,3.0,3.936
120,2.0,3.267
121,3.0,3.292
122,4.0,3.022
123,2.0,3.471
124,3.0,2.793
125,3.0,3.614
126,4.0,3.853
127,1.0,2.85
128,3.0,2.61
129,1.0,3.956
130,2.0,3.792
131,1.0,2.88
132,5.0,3.76
133,5.0,3.454
134,5.0,3.623
135,4.0,2.884
136,5.0,3.849
137,4.0,3.68
138,3.0,2.535
139,5.0,3.859
140,4.0,3.53
141,3.0,2.737
142,4.0,3.103
143,3.0,3.372
144,1.0,3.25
145,5.0,4.258
146,4.0,3.73
147,4.0,3.516
148,4.0,4.064
149,2.0,3.723
150,4.0,3.382
151,2.0,2.641
152,4.0,3.765
153,4.0,2.597
154,4.0,3.58
155,4.0,3.184
156,5.0,4.291
157,2.0,3.096
158,3.0,2.967
159,3.0,3.426
160,4.0,3.815
161,3.0,3.394
162,4.0,3.781
163,4.0,3.41
164,4.0,3.598
165,4.0,4.248
166,4.0,3.55
167,5.0,3.925
168,5.0,3.742
169,2.0,3.5
170,4.0,3.864
171,1.0,3.248
172,4.0,3.577
173,3.0,2.882
174,2.0,3.085
175,4.0,3.958
176,1.0,2.607
177,4.0,3.782
178,2.0,2.626
179,3.0,4.142
180,2.0,3.748
181,2.0,3.864
182,3.0,3.503
183,3.0,2.974
184,4.0,3.165
185,5.0,4.466
186,4.0,3.685
187,3.0,3.555
188,5.0,3.908
189,5.0,4.063
190,3.0,3.866
191,4.0,3.227
192,3.0,3.894
193,4.0,4.158
194,3.0,3.438
195,4.0,3.114
196,2.0,3.41
197,5.0,3.935
198,2.0,3.319
199,4.0,3.735
200,2.0,3.195
201,4.0,4.235
202,3.0,3.679
203,4.0,2.838
204,3.0,3.691
205,3.0,3.624
206,3.0,3.11
207,2.0,3.592
208,5.0,4.017
209,4.0,3.829
210,3.0,3.543
211,4.0,3.988
212,4.0,3.562
213,1.0,3.27
214,1.0,2.874
215,3.0,2.943
216,3.0,3.012
217,3.0,3.079
218,4.0,3.503
219,4.0,3.938
220,2.0,2.993
221,5.0,3.782
222,4.0,4.272
223,3.0,3.33
224,5.0,3.977
225,4.0,3.95
226,4.0,2.941
227,2.0,3.606
228,5.0,4.005
229,3.0,3.222
230,3.0,3.573
231,4.0,3.556
232,1.0,3.377
233,4.0,3.442
234,3.0,3.784
235,2.0,3.721
236,5.0,3.576
237,4.0,4.078
238,5.0,3.719
239,1.0,3.369
240,4.0,3.965
241,3.0,3.792
242,4.0,3.94
243,3.0,3.809
244,2.0,3.512
245,4.0,4.161
246,1.0,3.291
