,a,b
0,'til there was you,#horror
1,1-900,$upercapitalist
2,101 dalmatians,(500) days of summer
3,12 angry men,...e tu vivrai nel terrore! l'aldilà
4,187,10 cloverfield lane
5,2 days in the valley,10 days in a madhouse
6,"20,000 leagues under the sea",10 things i hate about you
7,2001: a space odyssey,102 dalmatians
8,3 ninjas: high noon at mega mountain,10th & wolf
9,"39 steps, the",11:14
10,8 1/2,12 angry men
11,8 heads in a duffel bag,12 rounds
12,8 seconds,12 years a slave
13,a chef in love,127 hours
14,above the rim,13 going on 30
15,absolute power,13 hours: the secret soldiers of benghazi
16,"abyss, the",1408
17,ace ventura: pet detective,15 minutes
18,ace ventura: when nature calls,16 blocks
19,across the sea of time,16 to life
20,addams family values,17 again
21,addicted to love,1776
22,"addiction, the",1941
23,"adventures of pinocchio, the",1947: earth
24,"adventures of priscilla, queen of the desert, the",1982
25,"adventures of robin hood, the",2 fast 2 furious
26,"affair to remember, an",2 guns
27,"african queen, the",20 dates
28,afterglow,20 feet from stardom
29,"age of innocence, the","20,000 leagues under the sea"
30,aiqing wansui,200 cigarettes
31,air bud,2001: a space odyssey
32,air force one,2012
33,"air up there, the",2016: obama's america
34,airheads,2046
35,akira,21
36,aladdin,21 & over
37,aladdin and the king of thieves,21 grams
38,alaska,21 jump street
39,albino alligator,22 jump street
40,alice in wonderland,24 7: twenty four seven
41,alien,25th hour
42,alien 3,27 dresses
43,alien: resurrection,28 days
44,aliens,28 days later
45,all about eve,28 weeks later
46,all dogs go to heaven 2,2:13
47,all over me,3 backyards
48,all things fair,3 days to kill
49,alphaville,3 ninjas kick back
50,amadeus,3 strikes
51,amateur,30 days of night
52,"amazing panda adventure, the",30 minutes or less
53,american buffalo,30 nights of paranormal activity with the devil inside the girl with the dragon tattoo
54,american dream,300
55,"american in paris, an",3000 miles to graceland
56,"american president, the",300: rise of an empire
57,american strays,3:10 to yuma
58,"american werewolf in london, an","4 luni, 3 săptămîni și 2 zile"
59,amistad,40 days and 40 nights
60,amityville 1992: it's about time,42
61,amityville 3-d,42nd street
62,"amityville curse, the",47 ronin
63,"amityville horror, the",4: rise of the silver surfer
64,amityville ii: the possession,5 days of war
65,amityville: a new generation,50 first dates
66,amityville: dollhouse,50/50
67,amos & andrew,51 birch street
68,an unforgettable summer,54
69,anaconda,55 days at peking
70,anastasia,8 days
71,andre,8 femmes
72,angel and the badman,8 heads in a duffel bag
73,angel baby,8 mile
74,angel on my shoulder,88 minutes
75,angela,8: the mormon proposition
76,angels and insects,8mm
77,angels in the outfield,9
78,angus,90 minutes in heaven
79,anna,[rec]
80,anna karenina,[rec]²
81,anne frank remembered,a beautiful mind
82,annie hall,a beginner's guide to snuff
83,another stakeout,a better life
84,antonia's line,a bridge too far
85,aparajito,a bug's life
86,"apartment, the",a charlie brown christmas
87,apocalypse now,a christmas carol
88,apollo 13,a christmas story
89,"apostle, the",a cinderella story
90,"apple dumpling gang, the",a civil action
91,april fool's day,a cock and bull story
92,apt pupil,a dangerous method
93,"aristocats, the",a dog of flanders
94,army of darkness,a dog's breakfast
95,around the world in 80 days,a escondidas
96,"arrival, the",a farewell to arms
97,arsenic and old lace,a few good men
98,as good as it gets,a fine step
99,assassins,a funny thing happened on the way to the forum
100,"assignment, the",a good day to die hard
101,"associate, the",a good year
102,audrey rose,a guy named joe
103,august,a guy thing
104,austin powers: international man of mystery,a hard day's night
105,"awfully big adventure, an",a haunted house
106,ayn rand: a sense of life,a haunted house 2
107,b*a*p*s,a history of violence
108,b. monkey,a home at the end of the world
109,babe,a knight's tale
110,"baby-sitters club, the",a league of their own
111,babyfever,a lego brickumentary
112,"babysitter, the",a lonely place to die
113,back to the future,a lot like love
114,backbeat,a low down dirty shame
115,bad boys,a madea christmas
116,bad company,a man apart
117,bad girls,a man for all seasons
118,bad moon,a mighty heart
119,bad taste,a mighty wind
120,"ballad of narayama, the",a million ways to die in the west
121,balto,a most violent year
122,bananas,a most wanted man
123,"band wagon, the",a night at the roxbury
124,barb wire,a nightmare on elm street
125,barbarella,a nightmare on elm street 3: dream warriors
126,barcelona,a nightmare on elm street 4: the dream master
127,basic instinct,a nightmare on elm street 5: the dream child
128,"basketball diaries, the",a nightmare on elm street part 2: freddy's revenge
129,basquiat,a passage to india
130,bastard out of carolina,a perfect getaway
131,batman,a prairie home companion
